student_id,resource_id,rating,comment,improvement_percent,timestamp
1DS23AI014,r028,5,Clear and concise,10,2025-11-02 12:21:01
1DS23AI008,r017,3,Good explanation,10,2025-11-27 10:21:01
1DS23AI002,r033,4,Very helpful resource,50,2025-11-22 21:21:01
1DS23AI020,r033,5,Excellent content,10,2025-11-02 13:21:01
1DS23AI011,r041,4,Very helpful resource,20,2025-11-20 05:21:01
1DS23AI016,r054,4,Could be better,20,2025-11-03 03:21:01
1DS23AI006,r024,4,Clear and concise,30,2025-11-11 16:21:01
1DS23AI014,r014,4,Clear and concise,50,2025-11-12 10:21:01
1DS23AI003,r049,4,Excellent content,40,2025-11-05 03:21:01
1DS23AI012,r039,4,Very helpful resource,30,2025-11-23 13:21:01
1DS23AI016,r034,4,Excellent content,10,2025-11-10 13:21:01
1DS23AI008,r051,4,Clear and concise,30,2025-11-27 01:21:01
1DS23AI002,r019,4,Good explanation,10,2025-12-01 06:21:01
1DS23AI005,r054,3,Could be better,40,2025-11-24 09:21:01
1DS23AI005,r043,3,Excellent content,10,2025-11-10 12:21:01
1DS23AI009,r034,5,Very helpful resource,40,2025-11-22 07:21:01
1DS23AI020,r022,4,Very helpful resource,30,2025-11-27 17:21:01
1DS23AI009,r039,4,Good explanation,30,2025-11-13 13:21:01
1DS23AI017,r016,3,Clear and concise,40,2025-11-17 04:21:01
1DS23AI019,r046,5,Very helpful resource,10,2025-12-02 00:21:01
1DS23AI008,r046,5,Good explanation,10,2025-11-30 12:21:01
1DS23AI016,r007,5,Good explanation,30,2025-11-15 01:21:01
1DS23AI020,r027,4,Good explanation,20,2025-11-13 00:21:01
1DS23AI018,r006,5,Good explanation,40,2025-11-24 14:21:01
1DS23AI020,r060,3,Good explanation,50,2025-11-10 09:21:01
1DS23AI016,r001,4,Clear and concise,50,2025-11-26 14:21:01
1DS23AI016,r001,4,Excellent content,30,2025-11-08 19:21:01
1DS23AI009,r018,5,Very helpful resource,40,2025-11-11 00:21:01
1DS23AI013,r051,4,Could be better,30,2025-11-25 19:21:01
1DS23AI016,r009,4,Clear and concise,40,2025-11-19 18:21:01
1DS23AI008,r034,5,Very helpful resource,40,2025-11-21 16:21:01
1DS23AI006,r058,5,Could be better,20,2025-11-12 21:21:01
1DS23AI006,r022,3,Excellent content,20,2025-11-14 19:21:01
1DS23AI003,r012,4,Could be better,10,2025-11-16 12:21:01
1DS23AI009,r010,5,Good explanation,30,2025-11-23 10:21:01
1DS23AI001,r027,4,Could be better,40,2025-11-12 01:21:01
1DS23AI017,r002,4,Clear and concise,50,2025-11-24 05:21:01
1DS23AI017,r008,5,Could be better,40,2025-11-05 21:21:01
1DS23AI004,r053,5,Excellent content,10,2025-11-15 13:21:01
1DS23AI005,r044,4,Clear and concise,40,2025-11-25 16:21:01
1DS23AI008,r033,3,Could be better,10,2025-11-09 17:21:01
1DS23AI009,r040,4,Very helpful resource,40,2025-11-11 23:21:01
1DS23AI010,r041,5,Could be better,20,2025-11-29 22:21:01
1DS23AI014,r034,4,Very helpful resource,50,2025-11-06 15:21:01
1DS23AI005,r048,5,Clear and concise,10,2025-11-02 10:21:01
1DS23AI018,r055,4,Clear and concise,50,2025-11-06 23:21:01
1DS23AI013,r044,5,Very helpful resource,50,2025-11-19 07:21:01
1DS23AI011,r018,4,Good explanation,40,2025-11-27 07:21:01
1DS23AI004,r048,4,Excellent content,30,2025-11-11 08:21:01
1DS23AI011,r008,4,Clear and concise,10,2025-11-02 05:21:01
1DS23AI015,r017,5,Very helpful resource,10,2025-11-18 11:21:01
1DS23AI009,r008,5,Excellent content,50,2025-11-23 11:21:01
1DS23AI012,r005,3,Could be better,40,2025-11-10 21:21:01
1DS23AI003,r030,5,Excellent content,40,2025-11-08 08:21:01
1DS23AI014,r019,4,Clear and concise,10,2025-11-29 13:21:01
1DS23AI002,r046,4,Clear and concise,50,2025-11-15 12:21:01
1DS23AI004,r034,3,Clear and concise,40,2025-11-30 13:21:01
1DS23AI018,r008,4,Clear and concise,30,2025-11-05 00:21:01
1DS23AI006,r040,4,Could be better,10,2025-11-16 18:21:01
1DS23AI008,r033,5,Clear and concise,10,2025-11-22 04:21:01
1DS23AI013,r026,5,Excellent content,50,2025-11-29 04:21:01
1DS23AI017,r056,3,Very helpful resource,40,2025-11-08 07:21:01
1DS23AI006,r024,3,Could be better,30,2025-12-01 07:21:01
1DS23AI015,r009,5,Could be better,20,2025-11-02 04:21:01
1DS23AI017,r008,4,Could be better,40,2025-11-13 03:21:01
1DS23AI008,r042,3,Excellent content,10,2025-11-12 16:21:01
1DS23AI003,r051,5,Could be better,50,2025-11-08 17:21:01
1DS23AI003,r051,4,Excellent content,10,2025-11-16 01:21:01
1DS23AI018,r002,5,Very helpful resource,40,2025-11-27 09:21:01
1DS23AI011,r049,4,Clear and concise,50,2025-11-20 04:21:01
1DS23AI020,r002,5,Clear and concise,20,2025-11-23 05:21:01
1DS23AI003,r021,3,Excellent content,10,2025-11-22 19:21:01
1DS23AI015,r060,5,Clear and concise,20,2025-11-14 18:21:01
1DS23AI016,r055,4,Excellent content,10,2025-11-13 02:21:01
1DS23AI015,r058,4,Very helpful resource,30,2025-11-17 05:21:01
1DS23AI009,r047,4,Clear and concise,20,2025-11-09 06:21:01
1DS23AI011,r002,5,Excellent content,40,2025-11-03 10:21:01
1DS23AI016,r054,4,Could be better,50,2025-11-20 11:21:01
1DS23AI003,r011,4,Good explanation,50,2025-11-24 12:21:01
1DS23AI018,r055,3,Could be better,20,2025-11-13 02:21:01
2025-12-02T10:20:00.437299,1DS23AI001,r025,1.0,,0.0
2025-12-02T10:26:09.348948,1DS23AI001,r025,1.0,,0.0
2025-12-02T10:28:37.746837,1DS23AI001,r025,2.0,,0.0
2025-12-02T10:28:45.109474,1DS23AI001,r025,2.0,,0.0
2025-12-02T10:29:00.654918,1DS23AI001,r036,1.0,,0.0
2025-12-02T10:29:06.091312,1DS23AI001,r036,1.0,,0.0
1DS23AI001,r003,5,,0,2025-12-02 10:31:01
1DS23AI001,r001,5,,0,2025-12-02 10:31:22
1DS23AI001,r008,5,,0,2025-12-02 10:31:44
1DS23AI001,r008,5,,56,2025-12-02 10:32:16
1DS23AI001,r008,5,,78,2025-12-02 10:32:27
1DS23AI001,r025,5,,2025-12-02 10:37:24
1DS23AI001,r001,1,,2025-12-02 10:37:42
1DS23AI001,r001,3,,2025-12-02 10:38:00
1DS23AI001,r001,5,,2025-12-02 10:38:25
1DS23AI001,r025,5,,2025-12-02 10:45:17
